CAS,InChIKey,Score
"121-73-3","KMAQZIILEGKYQZ-UHFFFAOYSA-N","1"
"12108-13-3","KPKMQYCSOVZNMI-UHFFFAOYSA-N","0"
"12113-07-4","SUZMSMLUONFLDA-UHFFFAOYSA-N","0"
"122-39-4","DMBHHRLKUKUOEG-UHFFFAOYSA-N","1"
"1222-05-5","QYRYFNHXARDNFZ-UHFFFAOYSA-N","1"
"123-11-5","ZRSNZINYAWTAHE-UHFFFAOYSA-N","1"
"123-18-2","GFWVDQCGGDBTBS-UHFFFAOYSA-N","0"
"123-28-4","GHKOFFNLGXMVNJ-UHFFFAOYSA-N","0"
"123-35-3","UAHWPYUMFXYFJY-UHFFFAOYSA-N","1"
"123-35-3","UAHWPYUMFXYFJY-UHFFFAOYSA-N","1"
"123-54-6","YRKCREAYFQTBPV-UHFFFAOYSA-N","1"
"123-95-5","ULBTUVJTXULMLP-UHFFFAOYSA-N","0"
"124-22-1","JRBPAEWTRLWTQC-UHFFFAOYSA-N","0"
"124-22-1","JRBPAEWTRLWTQC-UHFFFAOYSA-N","0"
"124-26-5","LYRFLYHAGKPMFH-UHFFFAOYSA-N","1"
"124-28-7","NAPSCFZYZVSQHF-UHFFFAOYSA-N","0"
"124-28-7","NAPSCFZYZVSQHF-UHFFFAOYSA-N","0"
"124-30-1","REYJJPSVUYRZGE-UHFFFAOYSA-N","0"
"124-30-1","REYJJPSVUYRZGE-UHFFFAOYSA-N","0"
"124-38-9","CURLTUGMZLYLDI-UHFFFAOYSA-N","1"
"124-68-5","CBTVGIZVANVGBH-UHFFFAOYSA-N","0"
"125252-49-5","No result","N/A"
"125904-11-2","SSZOCHFYWWVSAI-UHFFFAOYSA-N","0"
"125997-21-9","No result","N/A"
"126-11-4","OLQJQHSAWMFDJE-UHFFFAOYSA-N","0"
"126-57-8","KDMAJIXYCNOVJB-UHFFFAOYSA-N","0"
"126-73-8","STCOOQWBFONSKY-UHFFFAOYSA-N","1"
