"","accession","keggmap"
"727","HMDB0000692","map00270"
"728","HMDB0000692","map00562"
"729","HMDB0000692","map00360"
"730","HMDB0000692","map00860"
"731","HMDB0000692","map00240"
"732","HMDB0000692","map00830"
"733","HMDB0000692","map00430"
"734","HMDB0000692","map00380"
"735","HMDB0000692","map00350"
"736","HMDB0000695","map00280"
"737","HMDB0000696","map00260"
"738","HMDB0000696","map00260"
"739","HMDB0000696","map00270"
"740","HMDB0000698","map00120"
"741","HMDB0000699","map00760"
"742","HMDB0000700","map00640"
"743","HMDB0000707","map00360"
"744","HMDB0000707","map00350"
"745","HMDB0000715","map00380"
"746","HMDB0000716","map00310"
"747","HMDB0000719","map00270"
"748","HMDB0000722","map00120"
"749","HMDB0000742","map00260"
"750","HMDB0000742","map00260"
"751","HMDB0000742","map00270"
"752","HMDB0000742","map00350"
"753","HMDB0000757","map00500"
"754","HMDB0000761","map00120"
"755","HMDB0000763","map00380"
"756","HMDB0000797","map00230"
"757","HMDB0000807","map00561"
"758","HMDB0000807","map00260"
"759","HMDB0000807","map00010"
"760","HMDB0000807","map00010"
"761","HMDB0000807","map00500"
"762","HMDB0000812","map00250"
"763","HMDB0000819","map00350"
"764","HMDB0000820","map00920"
"765","HMDB0000828","map00250"
"766","HMDB0000828","map00240"
"767","HMDB0000845","map00790"
"768","HMDB0000854","map00340"
"769","HMDB0000855","map00760"
"770","HMDB0000870","map00340"
"771","HMDB0000876","map00100"
"772","HMDB0000881","map00380"
"773","HMDB0000883","map00640"
"774","HMDB0000883","map00280"
"775","HMDB0000895","map00564"
"776","HMDB0000896","map00120"
"777","HMDB0000898","map00340"
"778","HMDB0000902","map00150"
"779","HMDB0000902","map00330"
"780","HMDB0000902","map00410"
"781","HMDB0000902","map00650"
"782","HMDB0000902","map00232"
"783","HMDB0000902","map00020"
"784","HMDB0000902","map00270"
"785","HMDB0000902","map00062"
"786","HMDB0000902","map00071"
"787","HMDB0000902","map00051"
"788","HMDB0000902","map00052"
"789","HMDB0000902","map00250"
"790","HMDB0000902","map00561"
"791","HMDB0000902","map00260"
"792","HMDB0000902","map00260"
"793","HMDB0000902","map00010"
"794","HMDB0000902","map00010"
"795","HMDB0000902","map00340"
"796","HMDB0000902","map00562"
"797","HMDB0000902","map00562"
"798","HMDB0000902","map00072"
"799","HMDB0000902","map00310"
"800","HMDB0000902","map00270"
"801","HMDB0000902","map00760"
"802","HMDB0000902","map00910"
"803","HMDB0000902","map00520"
"804","HMDB0000902","map00670"
"805","HMDB0000902","map00190"
"806","HMDB0000902","map00564"
"807","HMDB0000902","map00860"
"808","HMDB0000902","map00120"
"809","HMDB0000902","map00640"
"810","HMDB0000902","map00790"
"811","HMDB0000902","map00230"
"812","HMDB0000902","map00620"
"813","HMDB0000902","map00830"
"814","HMDB0000902","map00450"
"815","HMDB0000902","map00500"
"816","HMDB0000902","map00140"
"817","HMDB0000902","map00380"
"818","HMDB0000902","map00350"
"819","HMDB0000902","map00330"
"820","HMDB0000902","map00280"
"821","HMDB0000903","map00140"
"822","HMDB0000904","map00330"
"823","HMDB0000904","map00250"
"824","HMDB0000904","map00330"
"825","HMDB0000905","map00230"
"826","HMDB0000916","map00860"
"827","HMDB0000929","map00380"
"828","HMDB0000935","map00150"
"829","HMDB0000935","map00520"
"830","HMDB0000935","map00860"
"831","HMDB0000935","map00500"
"832","HMDB0000936","map00860"
"833","HMDB0000939","map00330"
"834","HMDB0000939","map00260"
"835","HMDB0000939","map00260"
"836","HMDB0000939","map00340"
"837","HMDB0000939","map00270"
"838","HMDB0000939","map00760"
"839","HMDB0000939","map00380"
"840","HMDB0000939","map00350"
"841","HMDB0000939","map00350"
"842","HMDB0000939","map00130"
"843","HMDB0000949","map00140"
"844","HMDB0000951","map00120"
"845","HMDB0000957","map00350"
"846","HMDB0000960","map00230"
"847","HMDB0000961","map00860"
"848","HMDB0000961","map00100"
"849","HMDB0000962","map00020"
"850","HMDB0000962","map00310"
"851","HMDB0000962","map00620"
"852","HMDB0000962","map00280"
"853","HMDB0000963","map00270"
"854","HMDB0000965","map00430"
"855","HMDB0000968","map00562"
"856","HMDB0000968","map00562"
"857","HMDB0000972","map00270"
"858","HMDB0000972","map00670"
"859","HMDB0000972","map00230"
"860","HMDB0000977","map00130"
"861","HMDB0000978","map00380"
"862","HMDB0000980","map00790"
"863","HMDB0000985","map00620"
"864","HMDB0000985","map00280"
"865","HMDB0000988","map00270"
"866","HMDB0000990","map00620"
"867","HMDB0000996","map00270"
"868","HMDB0000996","map00430"
"869","HMDB0000998","map00240"
"870","HMDB0000999","map00230"
"871","HMDB0001000","map00240"
"872","HMDB0001003","map00920"
