"","accession","omimid"
"600","HMDB0000148",209850
"601","HMDB0000148",266600
"602","HMDB0000148",601665
"603","HMDB0000148",260350
"604","HMDB0000148",170650
"605","HMDB0000148",601313
"606","HMDB0000148",610247
"607","HMDB0000149",114500
"608","HMDB0000149",260350
"609","HMDB0000149",170650
"610","HMDB0000149",601313
"611","HMDB0000149",606054
"612","HMDB0000149",248600
"613","HMDB0000149",610247
"614","HMDB0000150",176807
"615","HMDB0000151",201810
"616","HMDB0000151",613546
"617","HMDB0000151",202110
"618","HMDB0000151",308100
"619","HMDB0000151",201710
"620","HMDB0000151",600955
"621","HMDB0000152",114500
"622","HMDB0000153",125853
"623","HMDB0000153",613546
"624","HMDB0000156",114500
"625","HMDB0000156",104300
"626","HMDB0000156",600274
"627","HMDB0000156",610247
"628","HMDB0000156",203740
"629","HMDB0000157",300322
"630","HMDB0000157",271900
"631","HMDB0000157",278300
"632","HMDB0000157",210200
"633","HMDB0000157",114500
"634","HMDB0000157",266600
"635","HMDB0000157",180300
"636","HMDB0000157",260350
"637","HMDB0000157",170650
"638","HMDB0000157",104300
"639","HMDB0000157",600274
"640","HMDB0000157",211980
"641","HMDB0000157",601313
"642","HMDB0000157",610247
"643","HMDB0000157",114550
"644","HMDB0000157",272300
"645","HMDB0000157",300661
"646","HMDB0000158",181500
"647","HMDB0000158",104300
"648","HMDB0000158",114500
"649","HMDB0000158",606812
"650","HMDB0000158",276700
"651","HMDB0000158",276700
"652","HMDB0000158",613752
"653","HMDB0000158",140350
"654","HMDB0000158",601665
"655","HMDB0000158",605814
"656","HMDB0000158",209850
"657","HMDB0000158",266600
"658","HMDB0000158",260350
"659","HMDB0000158",170650
"660","HMDB0000158",600274
"661","HMDB0000158",610247
"662","HMDB0000159",248600
"663","HMDB0000159",261600
"664","HMDB0000159",104300
"665","HMDB0000159",601665
"666","HMDB0000159",264070
"667","HMDB0000159",233910
"668","HMDB0000159",261640
"669","HMDB0000159",181500
"670","HMDB0000159",114500
"671","HMDB0000159",209850
"672","HMDB0000159",266600
"673","HMDB0000159",138900
"674","HMDB0000159",180300
"675","HMDB0000159",260350
"676","HMDB0000159",170650
"677","HMDB0000159",600274
"678","HMDB0000159",610247
"679","HMDB0000161",608300
"680","HMDB0000161",235800
"681","HMDB0000161",246900
"682","HMDB0000161",608782
"683","HMDB0000161",557000
"684","HMDB0000161",614654
"685","HMDB0000161",266150
"686","HMDB0000161",614741
"687","HMDB0000161",616299
"688","HMDB0000161",607948
"689","HMDB0000161",181500
"690","HMDB0000161",617290
"691","HMDB0000161",266600
"692","HMDB0000161",114500
"693","HMDB0000161",209850
"694","HMDB0000161",138900
"695","HMDB0000161",180300
"696","HMDB0000161",260350
"697","HMDB0000161",170650
"698","HMDB0000161",104300
"699","HMDB0000161",600274
"700","HMDB0000161",211980
"701","HMDB0000161",610247
"702","HMDB0000161",607196
"703","HMDB0000162",266130
"704","HMDB0000162",601665
"705","HMDB0000162",239500
"706","HMDB0000162",246900
"707","HMDB0000162",239510
"708","HMDB0000162",266150
"709","HMDB0000162",219150
"710","HMDB0000162",222730
"711","HMDB0000162",614741
"712","HMDB0000162",616299
"713","HMDB0000162",104300
"714","HMDB0000162",114500
"715","HMDB0000162",212750
"716","HMDB0000162",209850
"717","HMDB0000162",266600
"718","HMDB0000162",180300
"719","HMDB0000162",260350
"720","HMDB0000162",170650
"721","HMDB0000162",600274
"722","HMDB0000162",242600
"723","HMDB0000162",601313
"724","HMDB0000162",610247
"725","HMDB0000163",114500
"726","HMDB0000163",610247
"727","HMDB0000164",266600
"728","HMDB0000164",610247
"729","HMDB0000167",606812
"730","HMDB0000167",601665
"731","HMDB0000167",605814
"732","HMDB0000167",610090
"733","HMDB0000167",181500
"734","HMDB0000167",114500
"735","HMDB0000167",266600
"736","HMDB0000167",209850
"737","HMDB0000167",180300
"738","HMDB0000167",260350
"739","HMDB0000167",170650
"740","HMDB0000167",600274
"741","HMDB0000167",104300
"742","HMDB0000167",601313
"743","HMDB0000167",610247
"744","HMDB0000168",114500
"745","HMDB0000168",606812
"746","HMDB0000168",181500
"747","HMDB0000168",104300
"748","HMDB0000168",212750
"749","HMDB0000168",266600
"750","HMDB0000168",138900
"751","HMDB0000168",600274
"752","HMDB0000168",219700
"753","HMDB0000168",610247
"754","HMDB0000169",114500
"755","HMDB0000169",610247
"756","HMDB0000172",104300
"757","HMDB0000172",248600
"758","HMDB0000172",114500
"759","HMDB0000172",268700
"760","HMDB0000172",246900
"761","HMDB0000172",614923
"762","HMDB0000172",616299
"763","HMDB0000172",181500
"764","HMDB0000172",266600
"765","HMDB0000172",209850
"766","HMDB0000172",260350
"767","HMDB0000172",170650
"768","HMDB0000172",600274
"769","HMDB0000172",601313
"770","HMDB0000172",610247
"771","HMDB0000174",114500
"772","HMDB0000174",610247
"773","HMDB0000175",604352
"774","HMDB0000175",266600
"775","HMDB0000176",610247
"776","HMDB0000177",104300
"777","HMDB0000177",114500
"778","HMDB0000177",181500
"779","HMDB0000177",606812
"780","HMDB0000177",601665
"781","HMDB0000177",235800
"782","HMDB0000177",610090
"783","HMDB0000177",212750
"784","HMDB0000177",209850
"785","HMDB0000177",266600
"786","HMDB0000177",260350
"787","HMDB0000177",170650
"788","HMDB0000177",600274
"789","HMDB0000177",601313
"790","HMDB0000177",207900
"791","HMDB0000177",606054
"792","HMDB0000177",276700
"793","HMDB0000177",261600
"794","HMDB0000177",248600
"795","HMDB0000177",610247
"796","HMDB0000181",104300
"797","HMDB0000181",182125
"798","HMDB0000181",610247
"799","HMDB0000181",608643
"800","HMDB0000182",104300
"801","HMDB0000182",181500
"802","HMDB0000182",222700
"803","HMDB0000182",606812
"804","HMDB0000182",235800
"805","HMDB0000182",605814
"806","HMDB0000182",266150
"807","HMDB0000182",616299
"808","HMDB0000182",236792
"809","HMDB0000182",266600
"810","HMDB0000182",114500
"811","HMDB0000182",209850
"812","HMDB0000182",260350
"813","HMDB0000182",170650
"814","HMDB0000182",600274
"815","HMDB0000182",237300
"816","HMDB0000182",601313
"817","HMDB0000182",606054
"818","HMDB0000182",276700
"819","HMDB0000182",610247
"820","HMDB0000182",222690
"821","HMDB0000182",220100
"822","HMDB0000182",616034
"823","HMDB0000182",247950
"824","HMDB0000182",238700
"825","HMDB0000186",610247
"826","HMDB0000186",223000
"827","HMDB0000187",606904
"828","HMDB0000187",104300
"829","HMDB0000187",181500
"830","HMDB0000187",211980
"831","HMDB0000187",268900
"832","HMDB0000187",606812
"833","HMDB0000187",601665
"834","HMDB0000187",256520
"835","HMDB0000187",610992
"836","HMDB0000187",614023
"837","HMDB0000187",601815
"838","HMDB0000187",114500
"839","HMDB0000187",209850
"840","HMDB0000187",266600
"841","HMDB0000187",260350
"842","HMDB0000187",170650
"843","HMDB0000187",600274
"844","HMDB0000187",601313
"845","HMDB0000187",610247
"846","HMDB0000190",222100
"847","HMDB0000190",530000
"848","HMDB0000190",260350
"849","HMDB0000190",181500
"850","HMDB0000190",272300
"851","HMDB0000190",203740
"852","HMDB0000190",246450
"853","HMDB0000190",605911
"854","HMDB0000190",300438
"855","HMDB0000190",611126
"856","HMDB0000190",231530
"857","HMDB0000190",250620
"858","HMDB0000190",617698
"859","HMDB0000190",256000
"860","HMDB0000190",545000
"861","HMDB0000190",255125
"862","HMDB0000190",603358
"863","HMDB0000190",229700
"864","HMDB0000190",614654
"865","HMDB0000190",614702
"866","HMDB0000190",614922
"867","HMDB0000190",614924
"868","HMDB0000190",612949
"869","HMDB0000190",614462
"870","HMDB0000190",616878
"871","HMDB0000190",609015
"872","HMDB0000190",540000
"873","HMDB0000190",600462
"874","HMDB0000190",608782
"875","HMDB0000190",212350
"876","HMDB0000190",613070
"877","HMDB0000190",612736
"878","HMDB0000190",614946
"879","HMDB0000190",245450
"880","HMDB0000190",610773
"881","HMDB0000190",614741
"882","HMDB0000190",266150
"883","HMDB0000190",312170
"884","HMDB0000190",246900
"885","HMDB0000190",616483
"886","HMDB0000190",500001
"887","HMDB0000190",220111
"888","HMDB0000190",616299
"889","HMDB0000190",500009
"890","HMDB0000190",557000
"891","HMDB0000190",261680
"892","HMDB0000190",167320
"893","HMDB0000190",220110
"894","HMDB0000190",616034
"895","HMDB0000190",607426
"896","HMDB0000190",612073
"897","HMDB0000190",114500
"898","HMDB0000190",266600
"899","HMDB0000190",104300
"900","HMDB0000190",600274
"901","HMDB0000190",601313
"902","HMDB0000190",610247
"903","HMDB0000190",606054
"904","HMDB0000190",607196
"905","HMDB0000190",614739
"906","HMDB0000190",610198
"907","HMDB0000190",229600
"908","HMDB0000190",220500
"909","HMDB0000191",104300
"910","HMDB0000191",222730
"911","HMDB0000191",139250
"912","HMDB0000191",181500
"913","HMDB0000191",114500
"914","HMDB0000191",266600
"915","HMDB0000191",138900
"916","HMDB0000191",260350
"917","HMDB0000191",170650
"918","HMDB0000191",600274
"919","HMDB0000191",610247
"920","HMDB0000192",606904
"921","HMDB0000192",104300
"922","HMDB0000192",114500
"923","HMDB0000192",181500
"924","HMDB0000192",168600
"925","HMDB0000192",220100
"926","HMDB0000192",610247
"927","HMDB0000192",606812
"928","HMDB0000192",222690
"929","HMDB0000192",247950
"930","HMDB0000193",104300
"931","HMDB0000193",600274
"932","HMDB0000193",601313
"933","HMDB0000193",610247
"934","HMDB0000194",104300
"935","HMDB0000194",114500
"936","HMDB0000194",610247
"937","HMDB0000195",271900
"938","HMDB0000195",164050
"939","HMDB0000195",278300
"940","HMDB0000195",114500
"941","HMDB0000195",266600
"942","HMDB0000195",138900
"943","HMDB0000195",610247
"944","HMDB0000197",606788
"945","HMDB0000197",209850
"946","HMDB0000197",608516
"947","HMDB0000197",114500
"948","HMDB0000197",610247
"949","HMDB0000197",276100
"950","HMDB0000201",201475
"951","HMDB0000201",114500
"952","HMDB0000201",210200
"953","HMDB0000201",601665
"954","HMDB0000201",231530
"955","HMDB0000201",266600
"956","HMDB0000201",610247
"957","HMDB0000202",248360
"958","HMDB0000202",251100
"959","HMDB0000202",251110
"960","HMDB0000202",612073
"961","HMDB0000202",104300
"962","HMDB0000202",610247
"963","HMDB0000202",606054
"964","HMDB0000202",606812
"965","HMDB0000202",275350
"966","HMDB0000202",277380
"967","HMDB0000202",614265
"968","HMDB0000205",261600
"969","HMDB0000205",109720
"970","HMDB0000206",114500
"971","HMDB0000206",610247
"972","HMDB0000207",211980
"973","HMDB0000207",181500
"974","HMDB0000207",243500
"975","HMDB0000207",114500
"976","HMDB0000208",181500
"977","HMDB0000208",114500
"978","HMDB0000208",203740
"979","HMDB0000208",610247
"980","HMDB0000208",600721
"981","HMDB0000208",606762
"982","HMDB0000208",606812
"983","HMDB0000208",607196
"984","HMDB0000208",220500
"985","HMDB0000208",246900
"986","HMDB0000208",616299
"987","HMDB0000209",114500
"988","HMDB0000209",266600
"989","HMDB0000209",261600
"990","HMDB0000209",610247
"991","HMDB0000210",114500
"992","HMDB0000210",601665
"993","HMDB0000210",266600
"994","HMDB0000210",610247
"995","HMDB0000211",608611
"996","HMDB0000211",181500
"997","HMDB0000211",104300
