"","accession","keggmap"
"834","T3D4666","map04144"
"835","T3D4666","map00920"
"836","T3D4666","map04110"
"837","T3D4666","map04710"
"838","T3D4746","map00920"
"839","T3D4746","map00150"
"840","T3D4751","map00150"
"841","T3D4759","map00350"
"842","T3D4769","map00564"
"843","T3D4773","map01040"
"844","T3D4773","map00061"
"845","T3D4778","map00620"
"846","T3D4780","map00232"
"847","T3D4797","map00561"
"848","T3D4797","map00071"
"849","T3D4797","map00062"
"850","T3D4797","map00061"
"851","T3D4812","map00592"
"852","T3D4817","map00740"
"853","T3D4928","map00592"
"854","T3D4944","map03440"
"855","T3D4944","map04210"
"856","T3D4946","map04110"
"857","T3D4946","map03430"
"858","T3D4946","map04210"
"859","T3D4946","map05033"
"860","T3D4950","map04110"
"861","T3D4950","map03410"
"862","T3D4950","map03430"
"863","T3D4950","map04210"
"864","T3D4956","map00190"
"865","T3D4956","map03440"
"866","T3D4956","map04110"
"867","T3D4956","map02010"
"868","T3D4956","map03030"
"869","T3D4956","map03450"
"870","T3D4956","map04210"
"871","T3D4968","map04911"
"872","T3D4968","map04970"
"873","T3D4968","map04971"
"874","T3D4968","map04972"
"875","T3D4968","map04110"
"876","T3D4968","map04210"
"877","T3D4970","map00071"
"878","T3D4970","map00190"
"879","T3D4970","map00920"
"880","T3D4970","map04210"
"881","T3D4970","map03020"
"882","T3D4971","map04971"
"883","T3D4971","map00190"
"884","T3D4971","map04110"
"885","T3D4971","map04210"
"886","T3D4972","map00190"
"887","T3D4972","map03030"
"888","T3D4972","map04210"
"889","T3D4994","map04210"
"890","T3D4997","map00030"
"891","T3D4997","map00052"
"892","T3D4997","map00071"
"893","T3D4997","map00620"
"894","T3D4997","map00061"
"895","T3D4997","map00300"
"896","T3D4997","map00062"
"897","T3D4997","map04911"
"898","T3D4997","map04144"
"899","T3D4997","map05164"
"900","T3D4998","map00480"
"901","T3D4998","map00030"
"902","T3D4998","map00240"
"903","T3D4998","map00830"
"904","T3D4998","map00360"
"905","T3D4998","map04911"
"906","T3D4998","map00053"
"907","T3D4998","map00190"
"908","T3D4998","map04144"
"909","T3D4998","map03440"
"910","T3D4998","map00920"
"911","T3D4998","map04110"
"912","T3D4998","map02010"
"913","T3D4998","map03030"
"914","T3D4998","map04122"
"915","T3D4998","map04210"
"916","T3D4998","map03020"
"917","T3D4999","map00071"
"918","T3D4999","map00500"
"919","T3D4999","map00620"
"920","T3D4999","map00061"
"921","T3D4999","map00650"
"922","T3D4999","map04911"
"923","T3D4999","map00190"
"924","T3D5000","map04110"
