"","accession","categories"
"472","T3D0115","SyntheticToxin"
"473","T3D0116","Pesticide"
"474","T3D0116","Industrial/WorkplaceToxin"
"475","T3D0116","SyntheticToxin"
"476","T3D0117","HouseholdToxin"
"477","T3D0117","Industrial/WorkplaceToxin"
"478","T3D0117","Pollutant"
"479","T3D0117","AirbornePollutant"
"480","T3D0117","FoodToxin"
"481","T3D0117","NaturalToxin"
"482","T3D0119","HouseholdToxin"
"483","T3D0119","Industrial/WorkplaceToxin"
"484","T3D0119","Pollutant"
"485","T3D0119","AirbornePollutant"
"486","T3D0119","NaturalToxin"
"487","T3D0120","Industrial/WorkplaceToxin"
"488","T3D0120","Pollutant"
"489","T3D0120","AirbornePollutant"
"490","T3D0120","NaturalToxin"
"491","T3D0121","Industrial/WorkplaceToxin"
"492","T3D0121","Pollutant"
"493","T3D0121","AirbornePollutant"
"494","T3D0121","NaturalToxin"
"495","T3D0122","CigaretteToxin"
"496","T3D0122","Pollutant"
"497","T3D0122","AirbornePollutant"
"498","T3D0122","NaturalToxin"
"499","T3D0123","Pollutant"
"500","T3D0123","AirbornePollutant"
"501","T3D0123","SyntheticToxin"
"502","T3D0124","Industrial/WorkplaceToxin"
"503","T3D0124","Pollutant"
"504","T3D0124","AirbornePollutant"
"505","T3D0124","NaturalToxin"
"506","T3D0125","Industrial/WorkplaceToxin"
"507","T3D0125","Pollutant"
"508","T3D0125","AirbornePollutant"
"509","T3D0125","NaturalToxin"
"510","T3D0126","Industrial/WorkplaceToxin"
"511","T3D0126","Pollutant"
"512","T3D0126","AirbornePollutant"
"513","T3D0126","NaturalToxin"
"514","T3D0127","Pesticide"
"515","T3D0127","HouseholdToxin"
"516","T3D0127","SyntheticToxin"
"517","T3D0128","HouseholdToxin"
"518","T3D0128","Industrial/WorkplaceToxin"
"519","T3D0128","Pollutant"
"520","T3D0128","FoodToxin"
"521","T3D0128","NaturalToxin"
"522","T3D0129","Industrial/WorkplaceToxin"
"523","T3D0129","Pollutant"
"524","T3D0129","AirbornePollutant"
"525","T3D0129","SyntheticToxin"
"526","T3D0130","Industrial/WorkplaceToxin"
"527","T3D0130","Pollutant"
"528","T3D0130","AirbornePollutant"
"529","T3D0130","NaturalToxin"
"530","T3D0131","Industrial/WorkplaceToxin"
"531","T3D0131","Pollutant"
"532","T3D0131","AirbornePollutant"
"533","T3D0131","NaturalToxin"
"534","T3D0132","Industrial/WorkplaceToxin"
"535","T3D0132","Pollutant"
"536","T3D0132","AirbornePollutant"
"537","T3D0132","NaturalToxin"
"538","T3D0133","Industrial/WorkplaceToxin"
"539","T3D0133","Pollutant"
"540","T3D0133","AirbornePollutant"
"541","T3D0133","FoodToxin"
"542","T3D0133","NaturalToxin"
"543","T3D0134","Pesticide"
"544","T3D0134","Industrial/WorkplaceToxin"
"545","T3D0134","Pollutant"
"546","T3D0134","SyntheticToxin"
"547","T3D0135","Pesticide"
"548","T3D0135","FoodToxin"
"549","T3D0135","SyntheticToxin"
"550","T3D0136","Industrial/WorkplaceToxin"
"551","T3D0136","Pollutant"
"552","T3D0136","AirbornePollutant"
"553","T3D0136","SyntheticToxin"
"554","T3D0137","Industrial/WorkplaceToxin"
"555","T3D0137","Pollutant"
"556","T3D0137","FoodToxin"
"557","T3D0137","NaturalToxin"
"558","T3D0138","Pesticide"
"559","T3D0138","Pollutant"
"560","T3D0138","SyntheticToxin"
"561","T3D0139","Industrial/WorkplaceToxin"
"562","T3D0139","Pollutant"
"563","T3D0139","AirbornePollutant"
"564","T3D0139","NaturalToxin"
"565","T3D0140","Industrial/WorkplaceToxin"
"566","T3D0140","Pollutant"
"567","T3D0140","AirbornePollutant"
"568","T3D0140","NaturalToxin"
"569","T3D0141","Pesticide"
"570","T3D0141","SyntheticToxin"
"571","T3D0142","Pesticide"
"572","T3D0142","FoodToxin"
"573","T3D0142","NaturalToxin"
"574","T3D0144","Pesticide"
"575","T3D0144","Industrial/WorkplaceToxin"
"576","T3D0144","SyntheticToxin"
"577","T3D0145","Pesticide"
"578","T3D0145","Pollutant"
"579","T3D0145","AirbornePollutant"
"580","T3D0145","FoodToxin"
"581","T3D0145","SyntheticToxin"
"582","T3D0146","Pesticide"
"583","T3D0146","Industrial/WorkplaceToxin"
"584","T3D0146","Pollutant"
"585","T3D0146","AirbornePollutant"
"586","T3D0146","FoodToxin"
"587","T3D0146","SyntheticToxin"
"588","T3D0147","Pesticide"
"589","T3D0147","HouseholdToxin"
"590","T3D0147","Industrial/WorkplaceToxin"
"591","T3D0147","Pollutant"
"592","T3D0147","AirbornePollutant"
"593","T3D0147","FoodToxin"
"594","T3D0147","NaturalToxin"
"595","T3D0148","Pesticide"
"596","T3D0148","Pollutant"
"597","T3D0148","AirbornePollutant"
"598","T3D0148","SyntheticToxin"
"599","T3D0151","Drug"
"600","T3D0151","Pesticide"
"601","T3D0151","SyntheticToxin"
"602","T3D0152","Pesticide"
"603","T3D0152","Pollutant"
"604","T3D0152","AirbornePollutant"
"605","T3D0152","SyntheticToxin"
"606","T3D0156","CigaretteToxin"
"607","T3D0156","HouseholdToxin"
"608","T3D0156","Industrial/WorkplaceToxin"
"609","T3D0156","Pollutant"
"610","T3D0156","AirbornePollutant"
"611","T3D0156","SyntheticToxin"
"612","T3D0157","HouseholdToxin"
"613","T3D0157","Industrial/WorkplaceToxin"
"614","T3D0157","FoodToxin"
"615","T3D0157","NaturalToxin"
"616","T3D0158","Industrial/WorkplaceToxin"
"617","T3D0158","Pollutant"
"618","T3D0158","FoodToxin"
"619","T3D0158","NaturalToxin"
"620","T3D0159","Pesticide"
"621","T3D0159","HouseholdToxin"
"622","T3D0159","Industrial/WorkplaceToxin"
"623","T3D0159","Pollutant"
"624","T3D0159","AirbornePollutant"
"625","T3D0159","FoodToxin"
"626","T3D0159","SyntheticToxin"
"627","T3D0160","Industrial/WorkplaceToxin"
"628","T3D0160","Pollutant"
"629","T3D0160","AirbornePollutant"
"630","T3D0160","SyntheticToxin"
"631","T3D0161","Industrial/WorkplaceToxin"
"632","T3D0161","Pollutant"
"633","T3D0161","FoodToxin"
"634","T3D0161","NaturalToxin"
"635","T3D0162","Pesticide"
"636","T3D0162","Industrial/WorkplaceToxin"
"637","T3D0162","Pollutant"
"638","T3D0162","SyntheticToxin"
"639","T3D0163","Industrial/WorkplaceToxin"
"640","T3D0163","Pollutant"
"641","T3D0163","AirbornePollutant"
"642","T3D0163","SyntheticToxin"
"643","T3D0165","Pesticide"
"644","T3D0165","Industrial/WorkplaceToxin"
"645","T3D0165","Pollutant"
"646","T3D0165","AirbornePollutant"
"647","T3D0165","FoodToxin"
"648","T3D0165","SyntheticToxin"
"649","T3D0166","Pesticide"
"650","T3D0166","Industrial/WorkplaceToxin"
"651","T3D0166","Pollutant"
"652","T3D0166","SyntheticToxin"
"653","T3D0167","Industrial/WorkplaceToxin"
"654","T3D0167","Pollutant"
"655","T3D0167","AirbornePollutant"
"656","T3D0167","SyntheticToxin"
"657","T3D0168","Pesticide"
"658","T3D0168","Industrial/WorkplaceToxin"
"659","T3D0168","Pollutant"
"660","T3D0168","SyntheticToxin"
"661","T3D0170","UremicToxin"
"662","T3D0170","HouseholdToxin"
"663","T3D0170","Industrial/WorkplaceToxin"
"664","T3D0170","Pollutant"
"665","T3D0170","AirbornePollutant"
"666","T3D0170","FoodToxin"
"667","T3D0170","NaturalToxin"
"668","T3D0172","HouseholdToxin"
"669","T3D0172","Industrial/WorkplaceToxin"
"670","T3D0172","Pollutant"
"671","T3D0172","FoodToxin"
"672","T3D0172","SyntheticToxin"
"673","T3D0173","Industrial/WorkplaceToxin"
"674","T3D0173","Pollutant"
"675","T3D0173","SyntheticToxin"
"676","T3D0174","CigaretteToxin"
"677","T3D0174","Industrial/WorkplaceToxin"
"678","T3D0174","Pollutant"
"679","T3D0174","FoodToxin"
"680","T3D0174","NaturalToxin"
"681","T3D0176","Industrial/WorkplaceToxin"
"682","T3D0176","Pollutant"
"683","T3D0176","AirbornePollutant"
"684","T3D0176","FoodToxin"
"685","T3D0176","NaturalToxin"
"686","T3D0177","Industrial/WorkplaceToxin"
"687","T3D0177","FoodToxin"
"688","T3D0177","SyntheticToxin"
"689","T3D0178","Industrial/WorkplaceToxin"
"690","T3D0178","Pollutant"
"691","T3D0178","AirbornePollutant"
"692","T3D0178","SyntheticToxin"
"693","T3D0179","Industrial/WorkplaceToxin"
"694","T3D0179","Pollutant"
"695","T3D0179","AirbornePollutant"
"696","T3D0179","NaturalToxin"
"697","T3D0180","Industrial/WorkplaceToxin"
"698","T3D0180","NaturalToxin"
"699","T3D0182","Drug"
"700","T3D0182","HouseholdToxin"
"701","T3D0182","Industrial/WorkplaceToxin"
"702","T3D0182","Pollutant"
"703","T3D0182","AirbornePollutant"
"704","T3D0182","FoodToxin"
"705","T3D0182","NaturalToxin"
"706","T3D0183","HouseholdToxin"
"707","T3D0183","Industrial/WorkplaceToxin"
"708","T3D0183","Pollutant"
"709","T3D0183","AirbornePollutant"
"710","T3D0183","SyntheticToxin"
"711","T3D0184","HouseholdToxin"
"712","T3D0184","Industrial/WorkplaceToxin"
"713","T3D0184","FoodToxin"
"714","T3D0184","NaturalToxin"
"715","T3D0185","HouseholdToxin"
"716","T3D0185","Industrial/WorkplaceToxin"
"717","T3D0185","Pollutant"
"718","T3D0185","AirbornePollutant"
"719","T3D0185","FoodToxin"
"720","T3D0185","NaturalToxin"
"721","T3D0187","Drug"
"722","T3D0187","HouseholdToxin"
"723","T3D0187","Industrial/WorkplaceToxin"
"724","T3D0187","FoodToxin"
"725","T3D0187","NaturalToxin"
"726","T3D0189","Industrial/WorkplaceToxin"
"727","T3D0189","Pollutant"
"728","T3D0189","AirbornePollutant"
"729","T3D0189","FoodToxin"
"730","T3D0189","NaturalToxin"
"731","T3D0191","HouseholdToxin"
"732","T3D0191","Industrial/WorkplaceToxin"
"733","T3D0191","BacterialToxin"
"734","T3D0191","NaturalToxin"
"735","T3D0194","HouseholdToxin"
"736","T3D0194","Industrial/WorkplaceToxin"
"737","T3D0194","SyntheticToxin"
"738","T3D0195","HouseholdToxin"
