"","accession","smpdb"
"442","T3D4296","SMP00055"
"443","T3D4296","SMP00059"
"444","T3D4296","SMP00072"
"445","T3D4296","SMP00127"
"446","T3D4296","SMP00129"
"447","T3D4297","SMP00170"
"448","T3D4298","SMP00063"
"449","T3D4298","SMP00170"
"450","T3D4300","SMP00006"
"451","T3D4300","SMP00012"
"452","T3D4300","SMP00170"
"453","T3D4300","SMP00498"
"454","T3D4304","SMP00016"
"455","T3D4304","SMP00174"
"456","T3D4304","SMP00198"
"457","T3D4304","SMP00200"
"458","T3D4304","SMP00201"
"459","T3D4304","SMP00236"
"460","T3D4304","SMP00384"
"461","T3D4307","SMP00060"
"462","T3D4307","SMP00174"
"463","T3D4307","SMP00196"
"464","T3D4307","SMP00459"
"465","T3D4310","SMP00067"
"466","T3D4310","SMP00175"
"467","T3D4314","SMP00023"
"468","T3D4314","SMP00035"
"469","T3D4314","SMP00130"
"470","T3D4314","SMP00209"
"471","T3D4314","SMP00315"
"472","T3D4314","SMP00316"
"473","T3D4314","SMP00371"
"474","T3D4314","SMP00508"
"475","T3D4318","SMP00001"
"476","T3D4318","SMP00004"
"477","T3D4318","SMP00009"
"478","T3D4318","SMP00015"
"479","T3D4318","SMP00024"
"480","T3D4318","SMP00033"
"481","T3D4318","SMP00035"
"482","T3D4318","SMP00055"
"483","T3D4318","SMP00193"
"484","T3D4318","SMP00198"
"485","T3D4318","SMP00200"
"486","T3D4318","SMP00201"
"487","T3D4318","SMP00208"
"488","T3D4318","SMP00223"
"489","T3D4318","SMP00235"
"490","T3D4318","SMP00236"
"491","T3D4318","SMP00238"
"492","T3D4318","SMP00360"
"493","T3D4318","SMP00361"
"494","T3D4318","SMP00465"
"495","T3D4318","SMP00485"
"496","T3D4319","SMP00001"
"497","T3D4319","SMP00009"
"498","T3D4319","SMP00019"
"499","T3D4319","SMP00045"
"500","T3D4319","SMP00046"
"501","T3D4319","SMP00050"
"502","T3D4319","SMP00059"
"503","T3D4319","SMP00072"
"504","T3D4319","SMP00126"
"505","T3D4319","SMP00205"
"506","T3D4319","SMP00236"
"507","T3D4320","SMP00001"
"508","T3D4320","SMP00004"
"509","T3D4320","SMP00019"
"510","T3D4320","SMP00029"
"511","T3D4320","SMP00055"
"512","T3D4320","SMP00059"
"513","T3D4320","SMP00127"
"514","T3D4320","SMP00189"
"515","T3D4320","SMP00196"
"516","T3D4320","SMP00205"
"517","T3D4320","SMP00313"
"518","T3D4320","SMP00350"
"519","T3D4322","SMP00024"
"520","T3D4322","SMP00345"
"521","T3D4322","SMP00346"
"522","T3D4323","SMP00024"
"523","T3D4323","SMP00345"
"524","T3D4323","SMP00346"
"525","T3D4325","SMP00004"
"526","T3D4325","SMP00009"
"527","T3D4325","SMP00013"
"528","T3D4325","SMP00040"
"529","T3D4325","SMP00045"
"530","T3D4325","SMP00055"
"531","T3D4325","SMP00057"
"532","T3D4325","SMP00059"
"533","T3D4325","SMP00060"
"534","T3D4325","SMP00127"
"535","T3D4325","SMP00128"
"536","T3D4325","SMP00212"
"537","T3D4325","SMP00334"
"538","T3D4325","SMP00350"
"539","T3D4325","SMP00459"
"540","T3D4325","SMP00466"
"541","T3D4325","SMP00546"
"542","T3D4325","SMP00550"
"543","T3D4328","SMP00004"
"544","T3D4328","SMP00019"
"545","T3D4328","SMP00033"
"546","T3D4328","SMP00123"
"547","T3D4328","SMP00177"
"548","T3D4328","SMP00214"
"549","T3D4328","SMP00221"
"550","T3D4328","SMP00222"
"551","T3D4328","SMP00340"
"552","T3D4328","SMP00341"
"553","T3D4328","SMP00445"
"554","T3D4328","SMP00570"
"555","T3D4329","SMP00004"
"556","T3D4329","SMP00020"
"557","T3D4329","SMP00059"
"558","T3D4329","SMP00177"
"559","T3D4329","SMP00197"
"560","T3D4329","SMP00205"
"561","T3D4329","SMP00208"
"562","T3D4329","SMP00360"
"563","T3D4329","SMP00363"
"564","T3D4329","SMP00445"
"565","T3D4329","SMP00505"
"566","T3D4329","SMP00506"
"567","T3D4330","SMP00004"
"568","T3D4330","SMP00039"
"569","T3D4330","SMP00529"
"570","T3D4332","SMP00046"
"571","T3D4332","SMP00178"
"572","T3D4343","SMP00035"
"573","T3D4343","SMP00317"
"574","T3D4344","SMP00457"
"575","T3D4344","SMP00467"
"576","T3D4344","SMP00572"
"577","T3D4345","SMP00043"
"578","T3D4345","SMP00045"
"579","T3D4345","SMP00058"
"580","T3D4345","SMP00064"
"581","T3D4345","SMP00561"
"582","T3D4345","SMP00725"
"583","T3D4346","SMP00007"
"584","T3D4346","SMP00016"
"585","T3D4346","SMP00046"
"586","T3D4346","SMP00067"
"587","T3D4346","SMP00351"
"588","T3D4346","SMP00384"
"589","T3D4349","SMP00043"
"590","T3D4349","SMP00182"
"591","T3D4349","SMP00495"
"592","T3D4350","SMP00024"
"593","T3D4350","SMP00182"
"594","T3D4352","SMP00015"
"595","T3D4352","SMP00072"
"596","T3D4352","SMP00075"
"597","T3D4352","SMP00183"
"598","T3D4352","SMP00459"
"599","T3D4356","SMP00040"
"600","T3D4356","SMP00043"
"601","T3D4356","SMP00127"
"602","T3D4356","SMP00128"
"603","T3D4356","SMP00184"
"604","T3D4356","SMP00238"
"605","T3D4356","SMP00245"
"606","T3D4356","SMP00350"
"607","T3D4356","SMP00444"
"608","T3D4356","SMP00457"
"609","T3D4356","SMP00466"
"610","T3D4357","SMP00185"
"611","T3D4358","SMP00185"
"612","T3D4359","SMP00185"
"613","T3D4359","SMP00186"
"614","T3D4360","SMP00039"
"615","T3D4360","SMP00043"
"616","T3D4360","SMP00187"
"617","T3D4362","SMP00009"
"618","T3D4362","SMP00019"
"619","T3D4362","SMP00067"
"620","T3D4362","SMP00189"
"621","T3D4363","SMP00009"
"622","T3D4363","SMP00019"
"623","T3D4363","SMP00044"
"624","T3D4363","SMP00189"
"625","T3D4363","SMP00191"
"626","T3D4364","SMP00019"
"627","T3D4364","SMP00032"
"628","T3D4364","SMP00189"
"629","T3D4365","SMP00019"
"630","T3D4365","SMP00032"
"631","T3D4365","SMP00189"
"632","T3D4366","SMP00008"
"633","T3D4366","SMP00019"
"634","T3D4366","SMP00189"
"635","T3D4366","SMP00206"
"636","T3D4366","SMP00369"
"637","T3D4366","SMP00370"
"638","T3D4366","SMP00487"
"639","T3D4367","SMP00004"
"640","T3D4367","SMP00009"
"641","T3D4367","SMP00033"
"642","T3D4367","SMP00034"
"643","T3D4367","SMP00189"
"644","T3D4367","SMP00455"
"645","T3D4368","SMP00004"
"646","T3D4368","SMP00019"
"647","T3D4368","SMP00189"
"648","T3D4368","SMP00452"
"649","T3D4369","SMP00019"
"650","T3D4369","SMP00063"
"651","T3D4369","SMP00189"
"652","T3D4370","SMP00016"
"653","T3D4370","SMP00019"
"654","T3D4370","SMP00032"
"655","T3D4370","SMP00189"
"656","T3D4371","SMP00006"
"657","T3D4371","SMP00008"
"658","T3D4371","SMP00012"
"659","T3D4371","SMP00019"
"660","T3D4371","SMP00189"
"661","T3D4371","SMP00190"
"662","T3D4371","SMP00218"
"663","T3D4371","SMP00369"
"664","T3D4371","SMP00370"
"665","T3D4371","SMP00494"
"666","T3D4398","SMP00037"
"667","T3D4398","SMP00239"
"668","T3D4398","SMP00527"
"669","T3D4398","SMP00528"
"670","T3D4404","SMP00016"
"671","T3D4404","SMP00032"
"672","T3D4404","SMP00198"
"673","T3D4404","SMP00200"
"674","T3D4404","SMP00201"
"675","T3D4404","SMP00384"
"676","T3D4404","SMP00502"
"677","T3D4405","SMP00503"
"678","T3D4405","SMP00511"
"679","T3D4405","SMP00557"
"680","T3D4409","SMP00050"
"681","T3D4409","SMP00203"
"682","T3D4409","SMP00220"
"683","T3D4409","SMP00512"
"684","T3D4409","SMP00513"
"685","T3D4411","SMP00019"
"686","T3D4411","SMP00020"
"687","T3D4411","SMP00193"
"688","T3D4411","SMP00208"
"689","T3D4411","SMP00350"
"690","T3D4411","SMP00360"
"691","T3D4411","SMP00361"
"692","T3D4413","SMP00193"
"693","T3D4413","SMP00208"
"694","T3D4424","SMP00032"
"695","T3D4424","SMP00199"
"696","T3D4425","SMP00032"
"697","T3D4425","SMP00199"
"698","T3D4426","SMP00032"
"699","T3D4426","SMP00199"
"700","T3D4430","SMP00046"
"701","T3D4430","SMP00202"
"702","T3D4435","SMP00006"
"703","T3D4435","SMP00533"
"704","T3D4438","SMP00024"
"705","T3D4438","SMP00346"
"706","T3D4440","SMP00024"
"707","T3D4440","SMP00346"
"708","T3D4444","SMP00016"
"709","T3D4444","SMP00236"
"710","T3D4447","SMP00016"
"711","T3D4447","SMP00030"
"712","T3D4447","SMP00032"
"713","T3D4447","SMP00236"
"714","T3D4447","SMP00450"
"715","T3D4447","SMP00452"
"716","T3D4453","SMP00006"
"717","T3D4453","SMP00017"
"718","T3D4453","SMP00031"
"719","T3D4453","SMP00044"
"720","T3D4453","SMP00057"
"721","T3D4453","SMP00072"
"722","T3D4453","SMP00350"
"723","T3D4453","SMP00355"
"724","T3D4453","SMP00450"
"725","T3D4453","SMP00465"
"726","T3D4454","SMP00030"
"727","T3D4454","SMP00450"
"728","T3D4454","SMP00451"
"729","T3D4455","SMP00004"
"730","T3D4455","SMP00033"
"731","T3D4455","SMP00123"
"732","T3D4455","SMP00214"
"733","T3D4455","SMP00465"
"734","T3D4456","SMP00004"
"735","T3D4456","SMP00012"
"736","T3D4456","SMP00033"
"737","T3D4456","SMP00123"
"738","T3D4456","SMP00214"
"739","T3D4456","SMP00445"
"740","T3D4456","SMP00465"
"741","T3D4458","SMP00004"
"742","T3D4458","SMP00244"
"743","T3D4461","SMP00235"
"744","T3D4471","SMP00218"
"745","T3D4474","SMP00035"
"746","T3D4474","SMP00316"
"747","T3D4492","SMP00023"
"748","T3D4492","SMP00074"
"749","T3D4503","SMP00716"
"750","T3D4505","SMP00023"
"751","T3D4507","SMP00015"
"752","T3D4514","SMP00023"
"753","T3D4514","SMP00074"
"754","T3D4549","SMP00023"
"755","T3D4549","SMP00074"
"756","T3D4630","SMP00478"
"757","T3D4637","SMP00075"
"758","T3D4666","SMP00075"
"759","T3D4746","SMP00041"
"760","T3D4746","SMP00068"
"761","T3D4751","SMP00068"
"762","T3D4755","SMP00479"
"763","T3D4755","SMP00482"
"764","T3D4759","SMP00006"
"765","T3D4769","SMP00025"
"766","T3D4773","SMP00052"
"767","T3D4773","SMP00456"
"768","T3D4778","SMP00060"
"769","T3D4780","SMP00028"
"770","T3D4797","SMP00039"
"771","T3D4797","SMP00051"
"772","T3D4797","SMP00054"
"773","T3D4797","SMP00456"
"774","T3D4812","SMP00018"
"775","T3D4817","SMP00070"
"776","T3D4863","SMP00479"
"777","T3D4928","SMP00018"
"778","T3D4956","SMP00716"
"779","T3D4970","SMP00051"
"780","T3D4997","SMP00031"
"781","T3D4997","SMP00043"
"782","T3D4997","SMP00051"
"783","T3D4997","SMP00060"
"784","T3D4997","SMP00456"
"785","T3D4998","SMP00015"
"786","T3D4998","SMP00031"
"787","T3D4998","SMP00046"
"788","T3D4998","SMP00074"
"789","T3D4999","SMP00051"
"790","T3D4999","SMP00058"
"791","T3D4999","SMP00060"
"792","T3D4999","SMP00456"
